apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Alujes Bericat, Josep;;;20;;;Tarragona;;;-;;;Gusen - Campo de concentración (Austria);;;7 de diciembre de 1941
Alujes Llagostera, Pablo;;;43;;;Tarragona;;;-;;;Gusen - Campo de concentración (Austria);;;5 de septiembre de 1941
Alvarado Rodríguez, Dionisio;;;34;;;Villar del Rey (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;13 de septiembre de 1942
Alvarez Bernardo, Abilio;;;25;;;Entrimo -Ouleas (Ourense);;;-;;;Hartheim (Austria);;;2 de febrero de 1942
Alvarez Durán, Francisco;;;35;;;Algodonales (Cádiz);;;-;;;Gusen - Campo de concentración (Austria);;;25 de noviembre de 1941
Alvarez Escudero, Mariano;;;36;;;Valladolid;;;-;;;Gusen - Campo de concentración (Austria);;;16 de noviembre de 1941
Álvarez García, Modesto;;;31;;;Somió-Gijón (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;22 de julio de 1941
Alvárez Menéndez, José;;;30;;;Sant Adrià de Besòs (Barcelona) -nacido en Gijón (Asturias);;;-;;;Mauthausen (Austria);;;7 de septiembre de 1942
Álvarez Moradiellos, Hilario;;;40;;;Peñamellera Alta - Rogazas (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Álvarez Núñez, Antonio;;;26;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Álvarez Pineda, Juan;;;31;;;Aldea del Obispo (Salamanca);;;-;;;Gusen - Campo de concentración (Austria);;;20 de abril de 1943
Álvarez Requejo, (? );;;46;;;Infiesto (?) (Asturias);;;-;;;Dachau (Alemania);;;13 de febrero de 1945
Alvarez Ridaura, Manuel;;;25;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;14 de diciembre de 1941
Álvarez Sampedro, Joaquín;;;47;;;Pravia (Asturias);;;-;;;Hartheim ;;;23 de septiembre de 1941
Álvarez Sánchez, Sotero ;;;27;;;Zarzalejo (Madrid);;;-;;;Mauthausen;;;24 de diciembre de 1941
Álvarez, Felipe;;;31;;;Madrid;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
