apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Rodríguez Fernández, Hilario;;;27;;;Villamayor de Calatrava (Ciudad Real);;;-;;;Gusen;;;12 de enero de 1942
Rodríguez Fernández, Ricardo;;;32;;;Vigo (Pontevedra);;;-;;;Hartheim;;;7 de febrero de 1942
Rodríguez Fernández, Tomás;;;27;;;Villahermosa (Ciudad Real);;;-;;;Gusen;;;11 de diciembre de 1941
Rodríguez Forques, Serafín;;;39;;;Sevilla;;;-;;;Gusen (Austria);;;29 de diciembre de 1941
Rodríguez Franco, Benito;;;35;;;Méntrida (Toledo);;;-;;;Gusen (Austria);;;25 de noviembre de 1941
Rodríguez García, Francisco;;;37;;;Irun (Guipuzkoa);;;-;;;Gusen - campo nazi;;;2 de enero de 1942
Rodríguez García, Guzmán;;;27;;;Alba de Tormes  (Salamanca);;;-;;;Gusen;;;14 de enero de 1942
Rodríguez Gil, José;;;25;;;Álora (Málaga);;;-;;;Gusen;;;24 de febrero de 1942
Rodríguez Gil, Pedro;;;41;;;Bélmez (Córdoba);;;-;;;Gusen;;;29 de agosto de 1941
Rodríguez Gómez, Manuel;;;36;;;Madrid;;;-;;;Gusen;;;18 de febrero de 1942
Rodríguez González, Antonio;;;26;;;Alcaudete (Jaén);;;-;;;Gusen;;;12 de enero de 1942
Rodríguez González, Juan;;;39;;;Carratraca (Málaga);;;-;;;Gusen;;;18 de agosto de 1943
Rodríguez Guillén, Camilo;;;51;;; Cazalla de la Sierra (Sevilla);;;-;;;Gusen;;;12 de abril de 1941
Rodríguez Herruzo, José;;;42;;;Córdoba;;;-;;;Gusen (Austria);;;10 de octubre de 1941
Rodríguez Llinares, Rafael;;;32;;;Alacant/Alicante;;;-;;;Hartheim - campo exterminio;;;9 de febrero de 1942
Rodríguez López, Canuto;;;33;;;Puertollano (Ciudad Real);;;-;;;Gusen;;;30 de diciembre de 1941
Rodríguez López, Regino;;;22;;;Chozas de Canales (Toledo);;;-;;;Gusen (Austria);;;7 de enero de 1942
Rodríguez López, Román;;;31;;;Villafufre (Cantabria);;;-;;;Gusen;;;4 de noviembre de 1941
Rodríguez Louro, Manuel;;;25;;;Ezaro-Dumbría (Coruña);;;-;;;Hartheim;;;16 de septiembre de 1941
Rodríguez Mancilla, Miguel;;;38;;;Guájar Fondón-Los Guajares;;;-;;;Gusen;;;23 de febrero de 1942
Rodríguez Martínez, Antonio;;;29;;;Purullena (Granada);;;-;;;Gusen;;;2 de noviembre de 1941
Rodríguez Martínez, Guillermo;;;26;;;Santa Cruz de Marchena (Almería);;;-;;;Gusen;;;31 de diciembre de 1941
Rodríguez Merchán, Juan;;;25;;;Pozoblanco (Córdoba);;;-;;;Gusen;;;13 de enero de 1942
Rodríguez Míguez, Ernesto;;;32;;;Fresno de la Carballeda (Zamora);;;-;;;Mauthausen (Austria);;;31 de octubre de 1942
Rodríguez Mira, José;;;35;;;Beas de Segura (Jaén);;;-;;;Gusen;;;24 de marzo de 1942
Rodríguez Moreno, Vicente;;;34;;;Oropesa (Toledo);;;-;;;Hartheim ;;;10 de septiembre de 1941
Rodríguez Moyano, Luis;;;30;;;La Bóveda de Toro (Zamora);;;-;;;Gusen (Austria);;;19 de diciembre de 1941
Rodríguez Naranjo, Juan;;;25;;;Ardales (Málaga);;;-;;;Gusen;;;5 de noviembre de 1941
Rodríguez Navarro, Francisco;;;41;;;Cañete la Real (Málaga);;;-;;;Gusen;;;26 de agosto de 1941
Rodriguez Núñez, Antonio;;;37;;;Ubrique (Cádiz);;;-;;;Gusen;;;24 de enero de 1943
Rodríguez Olivares, Jesús;;;40;;;Agramón (Albacete);;;-;;;Gusen (Austria);;;19 de noviembre de 1941
Rodríguez Oriol, Tomás;;;31;;;Madrid;;;-;;;Gusen;;;18 de diciembre de 1941
Rodríguez Pérez, Cesáreo;;;25;;;Fuentidueña de Tajo (Madrid);;;-;;;Gusen (campo exterminio) Austria;;;1 de abril de 1941
Rodríguez Pérez, Juan;;;27;;;Valencia;;;-;;;Hartheim;;;9 de febrero de 1942
Rodríguez Pérez, Miguel;;;30;;;Madrid;;;-;;;Gusen;;;10 de diciembre de 1941
Rodríguez Prendes, Luis;;;33;;;La Felguera (Asturias);;;-;;;Dachau (Alemania);;;10 de noviembre de 1942
Rodríguez Rodríguez,  Valentín;;;28;;;Cerezal (León);;;-;;;Hartheim;;;22 de septiembre de 1941
Rodríguez Rodríguez, Eusebio;;;30;;;Madridejos (Toledo);;;-;;;Gusen (Austria);;;19 de julio de 1941
Rodríguez Rodríguez, José;;;0;;;Tijarafe  (La Palma) (Canarias);;;-;;;Gusen (Austria);;;24 de febrero de 1942
Rodríguez Román, Claudio;;;34;;;Aldeanueva de San Bartolomé (Toledo);;;-;;;Gusen (Austria);;;9 de abril de 1942
Rodríguez Román, Fermín;;;37;;;Aldeanueva de San Bartolomé (Toledo);;;-;;;Gusen (Austria);;;31 de enero de 1942
Rodríguez Romero, José;;;30;;;San Fernando (Cádiz);;;-;;;Gusen;;;28 de abril de 1942
Rodríguez Sánchez, Felipe;;;29;;;Santa Cruz de Tenerife;;;-;;;Gusen (Austria);;;16 de noviembre de 1941
Rodríguez Sánchez, Teodoro;;;33;;;Yeles (Toledo);;;-;;;Dachau (Alemania);;;1 de enero de 1943
Rodríguez Tocinos, José;;;25;;;Toledo;;;-;;;Gusen (Austria);;;3 de diciembre de 1941
Rodríguez Toro, José;;;37;;;Ribera del Fresno (Badajoz);;;-;;;Lublin ?;;;28 de enero de 1944 ?
Rodríguez Torres, Rafael;;;34;;;Castillo de Locubín (Jaén);;;-;;;Gusen;;;9 de diciembre de 1941
Rodríguez Trillo, Juan;;;27;;;Corveira ? (A Coruña);;;-;;;Gusen (Austria);;;22 de septiembre de 1942
Rodríguez Trujillo, Juan;;;42;;;Genalguacil (Málaga);;;-;;;Gusen;;;20 de noviembre de 1941
Rodríguez Valles, Rafael;;;43;;;Posadas (Córdoba);;;-;;;Gusen;;;15 de diciembre de 1941
Rodríguez Velasco, Mariano;;;30;;;Madrid;;;-;;;Gusen;;;4 de marzo de 1942
Rodríguez Vendrell,-;;;39;;;Barcelona;;;-;;;Dachau;;;22 de abril de 1945
Rodríguez, Angel;;;24;;;Albacete;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Rodríguez, Emilio;;;31;;;A Coruña;;;-;;;Buchenwald ?;;;6 de diciembre de 1944
Rogé Esteve, Josep;;;31;;;Sant Gregori (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi ;;;16 de octubre de 1942
Rogel Aparicio, Antonio;;;25;;;Orihuela(Alacant);;;-;;;Hartheim;;;22 de septiembre de 1941
Roig Balcells, Vicente;;;21;;;Vilaplana (Tarragona);;;-;;;Gusen;;;8 de octubre de 1942
Roig Bernet, José;;;34;;;Barcelona;;;-;;;Gusen;;;14 de diciembre de 1941
Roig Mayans, Jaime;;;29;;;Formentera (Baleares);;;-;;;Gusen;;;29 de julio de 1941
Rojas de la Cruz, Manuel;;;29;;;Melilla;;;-;;;Gusen (Austria);;;15 de noviembre de 1941
Rojo González, Faustino;;;23;;;Hérmedes de Cerrato (Palencia);;;-;;;Gusen (Austria);;;10 de febrero de 1941
Rojo Hernández, Eulalio;;;29;;;Almonacid de Toledo (Toledo);;;-;;;Gusen (Austria);;;1 de enero de 1942
Rojo Hernández, Lucinio;;;32;;;Almonacid de Toledo (Toledo);;;-;;;Gusen (Austria);;;12 de noviembre de 1941
Rojo López, Antonio;;;35;;;Lorca (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;26 de noviembre de 1941
Roldán García, José;;;49;;;Granada ;;;-;;;Gusen;;;11 de noviembre de 1941
Roldán Lozano, Aureliano;;;45;;;Santa Fe (Granada);;;-;;;Hartheim (campo exterminio nazi) Austria;;;22 de septiembre de 1941
Roldán Seseña, Faustino;;;28;;;Horcajo de Santiago (Cuenca);;;-;;;Dachau - campo de exterminio nazi;;;20 de junio de 1943
Roma Casas, Juan;;;39;;;Cercs (Barcelona);;;-;;;Gusen;;;10 de diciembre de 1941
Roma Montserrat, Juan;;;31;;;Seva (Barcelona);;;-;;;Gusen;;;24 de noviembre de 1941
Romaguera Pastor, Ramon;;;23;;;Picassent (Valencia);;;-;;;Gusen;;;27 de noviembre de 1941
Romai Lainez, José;;;28;;;Madrid;;;-;;;Gusen;;;12 de noviembre de 1941
Román Ibars, José;;;32;;;Villanueva del Arzobispo (Jaén);;;-;;;Gusen;;;17 de noviembre de 1941
Román Mora, José;;;43;;;Villacarrillo (Jaén);;;-;;;Gusen;;;2 de diciembre de 1941
Román Román, Francisco;;;24;;;Málaga;;;-;;;Gusen;;;30 de abril de 1942
Romañach Coll, Ermengol;;;36;;;Roses (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi;;;30 de marzo de 1942
Romaní Abeijón, Eduardo;;;26;;;Muros (?) (Coruña, A);;;-;;;Gusen;;;8 de julio de 1941
Romera Alcaraz, José Antonio Miguel;;;35;;;Rágol (Almería);;;-;;;Mauthausen;;;24 de marzo de 1942
Romero Aguado, Manuel;;;31;;;La Puebla de Cazalla;;;-;;;Gusen;;;30 de noviembre de 1941
Romero Alcaraz, Román;;;30;;;Toro (Zamora);;;-;;;Gusen (Austria);;;1 de enero de 1942
Romero Arias, Carlos;;;22;;;Labuerda (Huesca);;;-;;;Gusen;;;30 de diciembre de 1941
Romero Arroyo, Juan;;;29;;;Torrecampo (Córdoba);;;-;;;Gusen;;;2 de diciembre de 1941
Romero Cobos, Andrés;;;35;;;El Carpio (Córdoba);;;-;;;Gusen;;;13 de febrero de 1942
Romero de la Fuente, Francisco;;;27;;;Villaviciosa de Córdoba (Córdoba);;;-;;;Gusen;;;1 de diciembre de 1941
Romero Estrella, Casimiro;;;26;;;Torrecampo (Córdoba);;;-;;;Gusen;;;2 de julio de 1941
Romero Fabre, Francisco;;;40;;;Agrón (Granada);;;-;;;Gusen;;;10/01/1942
Romero García, José;;;36;;;Málaga ;;;-;;;Ternberg;;;28 de enero de 1944
Romero Gómez, Tomás;;;34;;;Espiel (Córdoba);;;-;;;Gusen;;;11 de noviembre de 1941
Romero López, Antonio;;;26;;;Campillo de Arenas (Jaén);;;-;;;Gusen;;;19 de noviembre de 1941
Romero Pérez, Juan;;;37;;; Aljúcer;;;-;;;Gusen (campo exterminio) Austria;;;10 de julio de 1942
Romero Rebón, Carlos;;;27;;;Ares;;;-;;;Hartheim (Austria);;;9 de febrero de 1942
Romero Recio, Julián;;;27;;;La Carolina (Jaén);;;-;;;Gusen;;;10 de octubre de 1941
Romero Rojo, Lorenzo;;;31;;;San Martín de Montalbán (Toledo);;;-;;;Gusen (Austria);;;15 de septiembre de 1941
Romero Romero, Daniel;;;26;;;Gàtova (Valencia);;;-;;;Mauthausen;;;31 de julio de 1942
Romero Rubio, Luis;;;55;;;Cabra (Córdoba)  ;;;- ;;;Cabra (Córdoba);;;23 de octubre de 1942
Romeu Subirats, Emilio;;;36;;;Tortosa (Tarragona);;;-;;;Gusen;;;11 de noviembre de 1941
Roquer, Francisco;;;36;;;Santander;;;-;;;Flossenbürg;;;23 de abril de 1945
Ros Conesa, Andrés;;;41;;;Basalpintada-Fuente Alamo de Murcia;;;-;;;Gusen (campo exterminio) Austria;;;6 de febrero de 1942
Ros Torres, Damián;;;26;;;Cartagena - Torre de Nicolás Pérez (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;9 de noviembre de 1941
Ros Tutusaus, Valentín;;;33;;;Barcelona;;;-;;;Mauthausen;;;17 de junio de 1942
Rosa Villar, Manuel;;;25;;;Esparragosa de la Serena (Badajoz);;;-;;;Gusen;;;5 de agosto de 1942
Rosado Gómez, Lucio;;;31;;;Cebreros (Avila);;;-;;;Flossenbürg (Alemania) ;;;2 de enero de 1945
Rosalen Ruiz, Gaspar;;;36;;;Valencia;;;-;;;Gusen;;;30 de junio de 1941
Roselló Gornés, Ernesto;;;24;;;Mercadal, Es (Fornells) Menorca;;;-;;;Gusen (Austria);;;24 de diciembre de 1941
Roselló Huguet, Juan;;;27;;;L&#039;Espluga de Francolí  (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;28 de mayo de 1941
Roselló Roig, Antonio;;;41;;;Ibiza/Eivissa (Baleares);;;-;;;Steyr (Austria);;;21 de abril de 1942
Roselló Viña, Bartolomé;;;46;;;Prat de Comte (Tarragona);;;-;;;Gusen;;;20 de septiembre de 1941
Roselló Viña, Salvador;;;45;;;Prat de Comte (Tarragona);;;-;;;Gusen;;;12.0101942
Rosendo Muñoz, Fructuós;;;27;;;Cassà de la Selva (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi ;;;6 de febrero de 1941
Rosillo Morales, Cecilio;;;37;;;La Calahorra (Granada);;;-;;;Gusen;;;29 de noviembre de 1942
Rotger, Vicente;;;29;;;Maó (Menorca);;;-;;;Allach (Alemania) ?;;;00
Rovira Isart, Miguel;;;41;;;Masquefa (Barcelona);;;Metalúrgico fábrica Rogelio Rojo;;;Gusen;;;1 de diciembre de 1941 - 21
Rovira Llansó, Fernando;;;23;;;Badalona (Barcelona);;;-;;;Gusen (Austria);;;20 de noviembre de 1941
Rovira Pitarch, Alfredo;;;35;;;Ares del Maestrat (Castellón/Castelló);;;-;;;Mauthausen;;;11 de septiembre de 1942
Rovira Prat, José;;;35;;;Santa Perpètua de Mogoda (Barcelona);;;-;;;Gusen;;;18 de noviembre de 1941
Rovira Rovira, Esteban;;;43;;;Cabrera de Mar (Barcelona);;;-;;;Gusen;;;1 de agosto de 1941
Roy Rivas, José;;;29;;;Palma de Mallorca;;;-;;;Gusen (Austria);;;27 de noviembre de 1941
Royo Allueva, Joaquín;;;29;;;Blesa (Teruel);;;-;;;Gusen;;;14 de noviembre de 1941
Royo Ballarín, Manuel;;;39;;;Sariñena (Huesca);;;-;;;Gusen;;;8 de noviembre de 1941
Royo Lahoz, Nicasio;;;65;;;La Hoz de la Vieja (Teruel);;;-;;;Buchenwald;;;28 de septiembre de 1944
Royo Nuez, Fernando;;;39;;;Obón (Teruel);;;-;;;Gusen;;;21 de julio de 1941
Roza Busta, Hermógenes;;;48;;;Lastres-Colunga (Asturias) ;;;-;;;Gusen (Austria) ;;;17 de noviembre de 1941
Rozas López, Miguel;;;32;;;Purchena (Almería);;;-;;;Gusen;;;14 de enero de 1942
Rua Solís, Mariano;;;27;;;Santo Domingo-Caudilla - Val de Santo Domingo (Toledo);;;-;;;Gusen (Austria);;;1 de enero de 1942
Ruana Fucho, Ramón;;;27;;;La Fatarella (Tarragona);;;-;;;Gusen;;;3 de diciembre de 1942
Rubianes Castroviejo, Segundo;;;23;;;Bilbao (Vizcaya);;;-;;;Gusen - campo nazi;;;9 de diciembre de 1941
Rubiano Fernández, Leonor;;;0;;;Mieres (Asturias);;;-;;;Ravensbrück;;;9 de febrero de 1945
Rubianos, Leonor;;;0;;;-;;;-;;;Auschwitz;;;1942-1945 - Neus Català, pag. 93
Rubio Aparicio, Jacinto;;;35;;;Aranda de Duero (Burgos);;;Policía;;;Gusen (Austria);;;10 de enero de 1942
Rubio Barragán, Antonio;;;34;;;Fuente del Arco (Badajoz);;;-;;;Gusen;;;11 de noviembre de 1941
Rubio del Valle, Luciano;;;31;;;Toledo;;;-;;;Gusen (Austria);;;25 de marzo de 1942
Rubio Delgado, José;;;26;;;Bera de Bidasoa (Navarra);;;-;;;Buchenwald ?;;;28 de marzo de 1944
Rubio García, Manuel;;;27;;;Albacete;;;-;;;Gusen (Austria);;;26 de febrero de 1942
Rubio García, Rafael;;;29;;;Antequera (Málaga);;;-;;;Gusen;;;25 de julio de 1942
Rubio García, Severiano;;;22;;;L&#039;Hospitalet de Ll. (Bcn) - nacido en Roa (Burgos);;;Electricista;;;Steyr - campo nazi;;;2 de octubre de 1942 - 30
Rubio Jorquera, Manuel;;;26;;;Sierro (Almería);;;-;;;Gusen;;;11 de enero de 1942
Rubio Mateo, Juan;;;43;;;Les Useres/Useras (Castellón/Castelló);;;-;;;Mauthausen;;;27 de septiembre de 1942
Rubio Ortega, Juan;;;24;;;Posadas (Córdoba);;;-;;;Hartheim;;;22 de septiembre de 1941
Rubio Sánchez, Francisco;;;25;;;Alacant/Alicante;;;-;;;Hartheim;;;9 de febrero de 1942
Rueda Vázquez, Pedro;;;37;;;Alhaurin el Grande (Málaga);;;-;;;Gusen (Austria);;;13 de noviembre de 1941
Ruedas Gómez, Antonio;;;36;;;Cuevas del Almanzora (Almería);;;-;;;Gusen;;;29 de julio de 1941
Ruestes Camí, Antonio;;;37;;;Torres de Segre (Lleida);;;-;;;Gusen;;;17 de agosto de 1942
Ruestes Camí, Juan;;;30;;;Torres de Segre (Lleida);;;-;;;Gusen;;;2 de febrero de 1941
Ruiz Aguera, Diego;;;29;;;Guaro (Málaga);;;-;;;Gusen;;;18 de noviembre de 1941
Ruiz Albuera, Juan;;;21;;;Málaga ;;;-;;;Gusen;;;5 de noviembre de 1941
Ruiz Alonso, Marcelino;;;36;;;Villanueva de los Montes-Oña (Burgos);;;-;;;Gusen;;;6 de diciembre de 1941
Ruiz Amestoy, Manuel;;;39;;;Laguardia/Biasteri (Alava/Araba);;;-;;;Gusen (Austria);;;29 de noviembre de 1941
Ruiz Balboa, José;;;27;;; Benalúa (Granada);;;-;;;Hartheim (campo exterminio nazi) Austria;;;2 de febrero de 1942
Ruiz Blanco, Cesáreo;;;34;;;Espejo (Córdoba);;;-;;;Gusen;;;8 de noviembre de 1941
Ruiz Blanqué, Alexandre;;;0;;;Tortellà (Girona);;;-;;;Dachau (Alemania) campo nazi (trasllat 05.07.1944);;;5 de julio de 1944
Ruíz Carrete, Agustín;;;26;;;Barcelona;;;-;;;Gusen;;;5 de noviembre de 1944
Ruiz Carrete, Carlos;;;27;;;Barcelona;;;-;;;Gusen;;;8 de febrero de 1942
Ruiz Carrillo, Antonio;;;27;;;Cañada Hermosa (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;16 de noviembre de 1941
Ruiz Ceballos, Secundino;;;40;;;Revilla de Camargo (Cantabria);;;-;;;Gusen;;;31 de octubre de 1941
Ruiz Cepeda, Timoteo;;;27;;;Huerta de Valdecarábanos (Toledo);;;-;;;Steyr (Austria);;;11 de abril de 1943
Ruiz Cortés, Sicasio;;;41;;;Hinojosa del Duque (Córdoba);;;-;;;Gusen;;;29 de noviembre de 1941
Ruiz Dávila, Rodolfo;;;40;;;Madrid;;;-;;;Gusen;;;8 de noviembre de 1941
Ruiz de la Peña, Vidal;;;35;;;Villanueva Rampalay-Valle de Zamanzas (Burgos);;;-;;;Gusen;;;16 de noviembre de 1941
Ruiz Domínguez, Gil;;;40;;;Atienza (Guadalajara);;;-;;;Gusen;;;4 de noviembre de 1941
Ruiz Fernández, Antonio;;;28;;;Otívar (Granada);;;-;;;Gusen;;;10 de diciembre de 1941
Ruiz Fernández, Salvador;;;38;;;Noez (Toledo);;;-;;;Gusen (Austria);;;15 de diciembre de 1941
Ruíz Garcia, Francisco;;;31;;;Barcelona;;;-;;;Mauthausen;;;24 de abril de 1942
Ruiz García, Lucas;;;22;;;Lorca (Murcia);;;-;;;Buchenwald ?;;;15 de enero de 1945
Ruiz García, Ursicino;;;20;;;Carrizal (León);;;-;;;Gusen;;;21 de noviembre de 1941
Ruiz Gómez, José;;;40;;;Murcia;;;-;;;Gusen (Austria);;;11 de noviembre de 1941
Ruiz Gómez, Mariano;;;41;;; L&#039;Hospitalet de Ll. (Bcn) nacido en Cabezo de Torres (Murcia);;;-;;;Gusen (campo exterminio) Austria;;;13 de septiembre de 1941 - 30
Ruiz Gómez, Pedro;;;38;;;Menasalbas (Toledo);;;-;;;Hartheim ;;;26 de septiembre de 1941
Ruiz González, Antonio;;;54;;;Igualeja (Málaga);;;-;;;Gusen;;;10 de agosto de 1941
Ruiz Hidalgo, Enrique;;;26;;;Santander;;;-;;;Gusen;;;10 de diciembre de 1941
Ruiz López, Estanislao;;;22;;;Trijueque (Guadalajara);;;-;;;Gusen;;;12 de noviembre de 1941
Ruiz López, Federico;;;40;;;Almegíjar (Granada);;;-;;;Gusen;;;6 de noviembre de 1941
Ruiz Oeo, Luis;;;32;;;Carmena (Toledo);;;-;;;Gusen (Austria);;;25 de enero de 1942
Ruiz Olmos, Eleuterio;;;35;;;Campo de Robles (?) (Teruel);;;-;;;Gusen;;;4 de diciembre de 1941
Ruiz Pinos, Bernardo;;;21;;;Alhama de Granada (Granada);;;-;;;Hartheim (campo exterminio nazi) Austria;;;29 de septiembre de 1941
Ruiz Ranchal, José;;;31;;;Añora (Córdoba);;;-;;;Gusen;;;21 de diciembre de 1941
Ruiz Rodríguez, Alfredo;;;25;;;Menasalbas (Toledo);;;-;;;Gusen (Austria);;;15 de enero de 1942
Ruiz Rodríguez, Bernardo;;;39;;;Benagalbón-Rincón de la Victoria (Málaga);;;-;;;Gusen;;;28 de julio de 1941
Ruiz Sabido, Luis;;;36;;;Azuaga (Badajoz);;;-;;;Hartheim (Austria);;;24 de febrero de 1941
Ruiz Sánchez, Bonifacio;;;30;;;Piedrabuena (Ciudad Real);;;-;;;Gusen;;;19 de diciembre de 1941
Ruiz Sánchez, Juan;;;35;;;Huércal Overa (Almería);;;-;;;Gusen;;;15 de julio de 1942
Ruiz Sánchez, Paz;;;32;;;Brazatortas (Ciudad Real);;;-;;;Gusen;;;29 de diciembre de 1941
Ruiz Santos, José;;;30;;;Almodóvar del Campo (Ciudad Real);;;-;;;Gusen;;;3 de enero de 1942
Ruiz Seis, Luciano;;;27;;;Gijón (Asturias);;;-;;;Mauthausen (Austria);;;17 de marzo de 1942
Ruiz Teresa, Francisco;;;35;;;Zaragoza;;;-;;;Gusen (Austria);;;11 de noviembre de 1941
Ruiz Velasco, Antonio;;;24;;;Ugígar (Granada);;;-;;;Gusen;;;10 de mayo de 1942
Ruiz Vivar, Juan;;;32;;;Aldeaquemada (Jaén);;;-;;;Gusen;;;21 de octubre de 1942
Ruiz Zafra, Antonio;;;29;;;Pinos Puente (Granada);;;-;;;Gusen;;;14 de octubre de 1942
Ruiz, Elisa (Alias Mme. Masallés/Maseailles);;;0;;;Zaragoza?;;;-;;;-;;;-
Rull Palleja, Francisco;;;33;;;Falset (Tarragona);;;-;;;Gusen;;;16 de octubre de 1941
Rus Lomas, Antonio;;;43;;;Abenójar (Ciudad Real);;;-;;;Mauthausen;;;24 de noviembre de 1941
Rusca Codina, Agustín;;;41;;;Barcelona;;;-;;;Gusen;;;22 de agosto de 1941
Ruscalleda Lloveras, Ricard;;;39;;;Sant Feliu de Guíxols (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi;;;12 de agosto de 1941
Rusiñol Folch, Joaquín;;;28;;;Rubí (Barcelona);;;-;;;Gusen;;;27 de julio de 1941
Ruso Mulet, Vicente;;;27;;;Tabarca;;;-;;;Gusen - campo exterminio (Austria);;;28 de octubre de 1941
Sabadell Portet, Carlos;;;21;;;Barcelona;;;-;;;Hartheim;;;9 de febrero de 1942
Sabat Amat, Antonio;;;39;;;Santa Coloma de Cervelló;;;Agricultor;;;Mauthausen ;;;14 de agosto de 1941
Sabaté Casellas, Alfonso;;;57;;;Gironella (Barcelona);;;-;;;Mauthausen - KLM;;;5 de mayo de 1945
Sabaté Esperanza, Francisco;;;38;;;Santa Perpètua de Mogoda (Barcelona);;;-;;;Gusen;;;11 de noviembre de 1941
Sabaté Pegueroles, José;;;39;;;Prat de Comte (Tarragona);;;-;;;Gusen;;;14 de septiembre de 1941
Sabaté Pons, Bautista;;;69;;;Xerta (Tarragona);;;-;;;Gusen;;;4 de mayo de 1941
Sabater Melgosa, Policarpo;;;39;;;Santander;;;-;;;Gusen;;;18 de marzo de 1941
Sabater Roquer, Francesc;;;38;;;Sant Feliu de Guíxols (Girona);;;-;;;Mauthausen (Gusen) - Alemania - campo nazi ;;;20 de enero de 1942
Sabater, Santiago;;;35;;;Barcelona;;;-;;;Coswig;;;8 de mayo de 1945
Saborido Pulido, José;;;24;;;Alcalá del Valle (Cádiz);;;-;;;Gusen (Austria);;;31 de agosto de 1941
Sacau, Manuel;;;56;;;Canejan (Lleida);;;-;;;Buchenwald;;;19 de marzo de 1944
Sadó Freixa, Rafael;;;33;;;Vilamalla (Girona);;;-;;;Mauthausen - Alemania  - campo nazi;;;28 de mayo de 1942
Sáez Aguilera, Paulino;;;39;;;San Esteban de Gormaz (Soria);;;-;;;Gusen (Austria);;;23 de febrero de 1942
Sáez Arauso, Valeriano;;;29;;;Navalagamella (Madrid);;;-;;;Mauthausen;;;17 de agosto de 1942
Sáez Ayala, Manuel;;;39;;;Algeciras (Cádiz);;;-;;;Gusen (Austria);;;16 de junio de 1941
Sáez Fernández, Luís;;;36;;;Barcelona;;;-;;;Gusen;;;28 de diciembre de 1941
Sáez Galera, Juan;;;31;;;Sorbas (Almería);;;-;;;Gusen;;;1 de enero de 1942
Sáez Murillo, Manuel;;;28;;;Azuaga (Badajoz);;;-;;;Mauthausen (Austria);;;12 de noviembre de 1941
Sáez Murillo, Roque;;;28;;;Azuaga (Badajoz);;;-;;;Gusen (Austria);;;7 de diciembre de 1941
Sáez Rodríguez, Luis;;;26;;;Madrid;;;-;;;Gusen;;;8 de diciembre de 1941
Sáez Urzay, Eladio;;;45;;;Artoqui (Navarra);;;-;;;Gusen (campo exterminio) Austria;;;19 de noviembre de 1941
Sáez Vera, José;;;40;;;Murcia;;;-;;;Mauthausen (Austria) desaparecido ?;;;00
Sagarra Casanovas, Vicente;;;36;;;Barcelona;;;-;;;Gusen;;;18 de agosto de 1941
Sagarra Mateo, Juan;;;26;;;Vilanova i la Geltrú (Barcelona);;;-;;;Gusen;;;14 de enero de 1942
Sagú Bonafont, Pedro;;;38;;;Barcelona;;;-;;;Gusen;;;3 de junio de 1941
Sáiz Alarcón, Antonio;;;31;;;Quintanar del Rey (Cuenca);;;-;;;Gusen;;;6 de enero de 1942
Saiz Micó, Vicente;;;25;;;Ontinyent (Valencia);;;-;;;Gusen;;;27 de noviembre de 1941
Sala García, Fernando;;;27;;;La Línea de la Concepción;;;-;;;Gusen;;;7 de diciembre de 1941
Sala Maurel, José;;;35;;;Santa Eugènia de Berga (Barcelona);;;-;;;Gusen;;;18 de enero de 1942
Salado Ruiz, Miguel;;;28;;;Málaga;;;-;;;Hartheim;;;19 de diciembre de 1941
Salana Bedis, Pedro;;;29;;;Heras (Cantabria);;;-;;;Mauthausen;;;26 de agosto de 1942
Salanova Vidaller, Martín;;;41;;; Liri-Castejón de Sos (Huesca);;;-;;;Neuengamme;;;0 de marzo de 1945
Salas Cáceres, Victoriano;;;33;;;Vera (Almería);;;-;;;Gusen;;;18 de noviembre de 1941
Salas Pino, Miguel;;;31;;;Alcaudete de la Jara (Toledo);;;-;;;Gusen (Austria);;;24 de febrero de 1942
Salas Sánchez, Juan;;;26;;;Fuente Palmera-Fuente Carretero (Córdoba);;;-;;;Hartheim;;;18 de diciembre de 1941 
Salavera Camps, Fernando;;;56;;;Barcelona;;;-;;;-;;;30 de enero de 1945
Salazar Flores, Francisco;;;31;;;Bujalance (Córdoba);;;-;;;Gusen;;;4 de diciembre de 1941
Salcedo Rabanaque, Fernando;;;25;;;Madrid;;;-;;;Gusen;;;31 de diciembre de 1942
Salcedo Torralba, Jaime;;;37;;;Losanglis-Ayerbe (Huesca);;;-;;;Gusen;;;29 de enero de 1941
Salgado Gómez, Andrés;;;29;;;Madrid;;;-;;;Gusen;;;11 de marzo de 1941
Salillas Sampietro, Mariano;;;41;;;Alberuela de Laliena (Huesca);;;-;;;Mauthausen;;;28 de abril de 1941
Salinas Foncillas, Manuel;;;32;;;Lastanosa-Sariñena (Huesca);;;-;;;Gusen;;;26 de octubre de 1941
